Treatment,sql12,apache-jmeter-2.10,emf-2.4.1,apache-ant-1.7.0,argouml,hibernate-distribution-3.3.2.GA,jEdit-4.2,jfreechart-1.0.19,columba-1.4-src,jruby-1.4.0
LR,"[0.00000000e+00 0.00000000e+00 1.44885540e-04 ... 9.99710229e-01
 9.99855114e-01 1.00000000e+00]","[0.00000000e+00 1.30872922e-04 2.61745845e-04 ... 9.99738254e-01
 9.99869127e-01 1.00000000e+00]","[0.00000000e+00 0.00000000e+00 2.34137204e-04 ... 9.99531726e-01
 9.99765863e-01 1.00000000e+00]","[0.00000000e+00 2.52334090e-04 5.04668181e-04 ... 9.99495332e-01
 9.99747666e-01 1.00000000e+00]","[0.00000000e+00 1.27959053e-04 1.27959053e-04 ... 9.99744082e-01
 9.99872041e-01 1.00000000e+00]","[0.00000000e+00 4.04040404e-04 4.04040404e-04 ... 9.99191919e-01
 9.99595960e-01 1.00000000e+00]",[0.         0.         0.         ... 0.99980125 0.99990063 1.        ],"[0.00000000e+00 2.40326845e-04 2.40326845e-04 ... 9.99519346e-01
 9.99759673e-01 1.00000000e+00]",[0.         0.         0.         ... 0.99967985 0.99983992 1.        ],"[0.00000000e+00 2.36294896e-04 4.72589792e-04 ... 9.99527410e-01
 9.99763705e-01 1.00000000e+00]"
DT,"[0.00000000e+00 1.44885540e-04 2.89771081e-04 ... 9.99710229e-01
 9.99855114e-01 1.00000000e+00]","[0.00000000e+00 1.30872922e-04 2.61745845e-04 ... 9.99738254e-01
 9.99869127e-01 1.00000000e+00]","[0.00000000e+00 2.34137204e-04 2.34137204e-04 ... 9.99531726e-01
 9.99765863e-01 1.00000000e+00]","[0.00000000e+00 2.52334090e-04 5.04668181e-04 ... 9.99747666e-01
 1.00000000e+00 1.00000000e+00]","[0.00000000e+00 1.27959053e-04 2.55918106e-04 ... 9.99744082e-01
 9.99872041e-01 1.00000000e+00]","[0.00000000e+00 4.04040404e-04 8.08080808e-04 ... 9.99191919e-01
 9.99595960e-01 1.00000000e+00]","[0.00000000e+00 9.93739442e-05 9.93739442e-05 ... 9.99900626e-01
 1.00000000e+00 1.00000000e+00]",[0.         0.         0.         ... 0.99951935 0.99975967 1.        ],"[0.00000000e+00 0.00000000e+00 1.60076837e-04 ... 9.99679846e-01
 9.99839923e-01 1.00000000e+00]","[0.00000000e+00 2.36294896e-04 2.36294896e-04 ... 9.99527410e-01
 9.99763705e-01 1.00000000e+00]"
RF,"[0.00000000e+00 1.44885540e-04 2.89771081e-04 ... 9.99710229e-01
 9.99855114e-01 1.00000000e+00]","[0.00000000e+00 1.30872922e-04 1.30872922e-04 ... 9.99738254e-01
 9.99869127e-01 1.00000000e+00]","[0.00000000e+00 2.34137204e-04 4.68274409e-04 ... 9.99765863e-01
 1.00000000e+00 1.00000000e+00]",[0.         0.         0.         ... 0.99949533 0.99974767 1.        ],"[0.00000000e+00 1.27959053e-04 1.27959053e-04 ... 9.99744082e-01
 9.99872041e-01 1.00000000e+00]","[0.00000000e+00 4.04040404e-04 8.08080808e-04 ... 9.99191919e-01
 9.99595960e-01 1.00000000e+00]",[0.         0.         0.         ... 0.99980125 0.99990063 1.        ],[0.         0.         0.         ... 0.99951935 0.99975967 1.        ],[0.         0.         0.         ... 0.99983992 1.         1.        ],[0.         0.         0.         ... 0.99952741 0.99976371 1.        ]
SVM,"[0.00000000e+00 1.44885540e-04 2.89771081e-04 ... 9.99855114e-01
 1.00000000e+00 1.00000000e+00]","[0.00000000e+00 1.30872922e-04 2.61745845e-04 ... 9.99738254e-01
 9.99869127e-01 1.00000000e+00]","[0.00000000e+00 2.34137204e-04 4.68274409e-04 ... 9.99531726e-01
 9.99765863e-01 1.00000000e+00]","[0.00000000e+00 2.52334090e-04 5.04668181e-04 ... 9.99495332e-01
 9.99747666e-01 1.00000000e+00]","[0.00000000e+00 1.27959053e-04 2.55918106e-04 ... 9.99744082e-01
 9.99872041e-01 1.00000000e+00]","[0.00000000e+00 4.04040404e-04 8.08080808e-04 ... 9.99191919e-01
 9.99595960e-01 1.00000000e+00]","[0.00000000e+00 9.93739442e-05 1.98747888e-04 ... 9.99801252e-01
 9.99900626e-01 1.00000000e+00]","[0.00000000e+00 2.40326845e-04 4.80653689e-04 ... 9.99519346e-01
 9.99759673e-01 1.00000000e+00]","[0.00000000e+00 1.60076837e-04 3.20153674e-04 ... 9.99679846e-01
 9.99839923e-01 1.00000000e+00]","[0.00000000e+00 2.36294896e-04 4.72589792e-04 ... 9.99527410e-01
 9.99763705e-01 1.00000000e+00]"
NB,"[0.00000000e+00 1.44885540e-04 2.89771081e-04 ... 9.99710229e-01
 9.99855114e-01 1.00000000e+00]","[0.00000000e+00 1.30872922e-04 2.61745845e-04 ... 9.99738254e-01
 9.99869127e-01 1.00000000e+00]","[0.00000000e+00 2.34137204e-04 4.68274409e-04 ... 9.99531726e-01
 9.99765863e-01 1.00000000e+00]","[0.00000000e+00 0.00000000e+00 2.52334090e-04 ... 9.99747666e-01
 1.00000000e+00 1.00000000e+00]","[0.00000000e+00 1.27959053e-04 2.55918106e-04 ... 9.99744082e-01
 9.99872041e-01 1.00000000e+00]","[0.00000000e+00 0.00000000e+00 4.04040404e-04 ... 9.99595960e-01
 1.00000000e+00 1.00000000e+00]",[0.         0.         0.         ... 0.99980125 0.99990063 1.        ],"[0.00000000e+00 2.40326845e-04 4.80653689e-04 ... 9.99519346e-01
 9.99759673e-01 1.00000000e+00]","[0.00000000e+00 1.60076837e-04 3.20153674e-04 ... 9.99679846e-01
 9.99839923e-01 1.00000000e+00]",[0.         0.         0.         ... 0.99952741 0.99976371 1.        ]
TM,"[0.00000000e+00 1.44885540e-04 1.44885540e-04 ... 9.99710229e-01
 9.99855114e-01 1.00000000e+00]","[0.00000000e+00 1.30872922e-04 2.61745845e-04 ... 9.99738254e-01
 9.99869127e-01 1.00000000e+00]","[0.00000000e+00 2.34137204e-04 4.68274409e-04 ... 9.99765863e-01
 1.00000000e+00 1.00000000e+00]",[0.         0.         0.         ... 0.99974767 1.         1.        ],"[0.00000000e+00 0.00000000e+00 1.27959053e-04 ... 9.99872041e-01
 1.00000000e+00 1.00000000e+00]","[0.00000000e+00 4.04040404e-04 8.08080808e-04 ... 9.99191919e-01
 9.99595960e-01 1.00000000e+00]",[0.         0.         0.         ... 0.99990063 1.         1.        ],"[0.00000000e+00 2.40326845e-04 4.80653689e-04 ... 9.99519346e-01
 9.99759673e-01 1.00000000e+00]","[0.00000000e+00 1.60076837e-04 3.20153674e-04 ... 9.99679846e-01
 9.99839923e-01 1.00000000e+00]","[0.00000000e+00 2.36294896e-04 2.36294896e-04 ... 9.99527410e-01
 9.99763705e-01 1.00000000e+00]"
